Feature,Mean Absolute SHAP
categorical__r_case_number_14015557CF10A,0.0
categorical__r_case_number_14015560TC10A,0.0
categorical__r_case_number_14015569CF10A,0.0
categorical__r_case_number_14015738MM10A,0.0
categorical__r_case_number_14015603MM10A,0.0
categorical__r_case_number_14015607CF10A,0.0
categorical__r_case_number_14015651MM10A,0.0
categorical__r_case_number_14015665MM10A,0.0
categorical__r_case_number_14015676MM10A,0.0
categorical__r_case_number_14015680CF10A,0.0
categorical__r_case_number_14015690CF10A,0.0
categorical__r_case_number_14015704CF10A,0.0
categorical__r_case_number_14015720MM10A,0.0
categorical__r_case_number_14015730TC10A,0.0
categorical__r_case_number_14015569MM10A,0.0
categorical__r_case_number_14016632CF10A,0.0
categorical__r_case_number_14016669MM10A,0.0
categorical__r_case_number_14016686CF10A,0.0
categorical__r_case_number_14016704MM10A,0.0
categorical__r_case_number_14016710MM10A,0.0
categorical__r_case_number_14016711MM10A,0.0
categorical__r_case_number_14016731CF10A,0.0
categorical__r_case_number_14016732TC20A,0.0
categorical__r_case_number_14016748MM10A,0.0
categorical__r_case_number_14016766MM10A,0.0
categorical__r_case_number_14016123MM10A,0.0
categorical__r_case_number_14016785CF10A,0.0
categorical__r_case_number_14016831MM10A,0.0
categorical__r_case_number_14016868TC20A,0.0
categorical__r_case_number_14016894CF10A,0.0
categorical__r_case_number_14016921TC10A,0.0
categorical__r_case_number_14016936TC10A,0.0
categorical__r_case_number_14016939CF10A,0.0
categorical__r_case_number_14016948CF10A,0.0
categorical__r_case_number_14017016CF10A,0.0
categorical__r_case_number_14017070CF10A,0.0
categorical__r_case_number_14016781MM10A,0.0
categorical__r_case_number_14016144MM10A,0.0
categorical__r_case_number_14016162CF10A,0.0
categorical__r_case_number_14016163CF10A,0.0
categorical__r_case_number_14016182CF10A,0.0
categorical__r_case_number_14016192MM10A,0.0
categorical__r_case_number_14016260CF10A,0.0
categorical__r_case_number_14016290MM10A,0.0
categorical__r_case_number_14016297CF10A,0.0
categorical__r_case_number_14016354MM10A,0.0
categorical__r_case_number_14016431CF10A,0.0
categorical__r_case_number_14016630MM10A,0.0
categorical__r_case_number_14016441CF10A,0.0
categorical__r_case_number_14016448MM10A,0.0
categorical__r_case_number_14016453CF10A,0.0
categorical__r_case_number_14016455CF10A,0.0
categorical__r_case_number_14016477MM10A,0.0
categorical__r_case_number_14016480MM10A,0.0
categorical__r_case_number_14016516TC20A,0.0
categorical__r_case_number_14016518CF10A,0.0
categorical__r_case_number_14016590CF10A,0.0
categorical__r_case_number_14016591CF10A,0.0
categorical__r_case_number_14016435CF10A,0.0
categorical__r_case_number_14013966CF10A,0.0
categorical__r_case_number_14014012CF10A,0.0
categorical__r_case_number_14014014MM10A,0.0
categorical__r_case_number_14014056CF10A,0.0
categorical__r_case_number_14014058CF10A,0.0
categorical__r_case_number_14014087MM10A,0.0
categorical__r_case_number_14014095MM10A,0.0
categorical__r_case_number_14014114CF10A,0.0
categorical__r_case_number_14014121CF10A,0.0
categorical__r_case_number_14015375MM10A,0.0
categorical__r_case_number_14014186MM10A,0.0
categorical__r_case_number_14014210MM10A,0.0
categorical__r_case_number_14014226MO10A,0.0
categorical__r_case_number_14014273CF10A,0.0
categorical__r_case_number_14014277MM10A,0.0
categorical__r_case_number_14014299CF10A,0.0
categorical__r_case_number_14014314CF10A,0.0
categorical__r_case_number_14014315CF10A,0.0
categorical__r_case_number_14014337CF10A,0.0
categorical__r_case_number_14014348CF10A,0.0
categorical__r_case_number_14014149CF10A,0.0
categorical__r_case_number_14013545CF10A,0.0
categorical__r_case_number_14013568MM10A,0.0
categorical__r_case_number_14013569MM10A,0.0
categorical__r_case_number_14013682CF10A,0.0
categorical__r_case_number_14013683CF10A,0.0
categorical__r_case_number_14013695CF10A,0.0
categorical__r_case_number_14013705MM10A,0.0
categorical__r_case_number_14013717CF10A,0.0
categorical__r_case_number_14013735CF10A,0.0
categorical__r_case_number_14013741CF10A,0.0
